Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Golden Tulip,15 - 45 years,Keys available,4.0,,,1.28405665902905,103.821065058206,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjZSQzQ4XzE3Njk0MTk4MDAxMTM,TIONG BAHRU MRT STATION,EW17,693.2,945.0,11.3,11.3
Depot Heights,15 - 45 years,Keys available,2.0,,,1.28175927117793,103.806862236642,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjFDMTlDXzE3Njk0MTk4MDAwOTk,LABRADOR PARK MRT STATION,CC27,1131.1,1604.0,19.2,10.8
Telok Blangah Towers,15 - 45 years,Keys available,1.0,,,1.27349435644809,103.807229362471,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjFDMzlfMTc2OTQxOTgwMDExMQ,TELOK BLANGAH MRT STATION,CC28,418.7,602.0,7.2,7.2
Telok Blangah Way,50 years,Keys available,,1.0,,1.27684949862022,103.818286553042,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjJDMl8xNzY4NTI3MDAwMDA1,TELOK BLANGAH MRT STATION,CC28,1168.2,1496.0,17.9,11.2
Brickworks Estate,41 years,Keys available,,1.0,,1.2866292132996,103.80686187976,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjhDNl8xNzY4NTI3MDAwMDc2,QUEENSTOWN MRT STATION,EW19,916.1,1362.0,16.3,16.3
The Beo Crescent,43 years,Keys available,,1.0,,1.28807687600985,103.82708127923,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjVDN18xNzY4NTI3MDAwMDU1,TIONG BAHRU MRT STATION,EW17,207.5,490.0,5.9,5.9
Telok Blangah Cres,49 years,Keys available,,1.0,,1.27736813225761,103.818651524334,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjJDNEFfMTc2ODUyNzAwMDA2Nw,TELOK BLANGAH MRT STATION,CC28,1235.1,1616.0,19.4,13.5
Tiong Bahru View,15 - 45 years,Keys available,2.0,,,1.2868271524179,103.828659487514,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjVSMzdCXzE3Njk0MTk4MDAwODI,TIONG BAHRU MRT STATION,EW17,205.6,322.0,3.9,3.9
Blangah View,51 years,Keys available,,1.0,,1.27309040956353,103.810143564301,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjFDNF8xNzY4NTI3MDAwMDg5,TELOK BLANGAH MRT STATION,CC28,268.5,432.0,5.2,5.2
Jln Bt Merah,55 years,Keys available,,1.0,,1.28441925029097,103.814960183751,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjNDNV8xNzY4NTI3MDAwMDUz,REDHILL MRT STATION,EW18,615.3,1062.0,12.8,12.8
Bukit Purmei Ville,58 years,Keys available,,1.0,,1.27380415706758,103.827057699596,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjNDM18xNzY4NTI3MDAwMDY2,KEPPEL MRT STATION,CC30,559.0,1515.0,18.2,18.2
City Vue @Henderson,15 - 93 years,Keys available,1.0,,,1.28649254110004,103.82143358771,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjZSQzUzXzE3Njg4MDc4MDAwNTM,TIONG BAHRU MRT STATION,EW17,609.9,867.0,10.4,10.4
Everton Park,54 years,Keys available,,1.0,,1.27742654288695,103.840001188095,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjBDMF8xNzY4NTI3MDAwMTAx,OUTRAM PARK MRT STATION,NE3,262.9,457.0,5.5,5.5
Rumah Tinggi View,71 years,Keys available,,,1.0,1.28863365915922,103.809643901495,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjhSQzI4XzE3Njg1MjcwMDAwOTM,REDHILL MRT STATION,EW18,791.8,943.0,11.3,11.3
Telok Blangah Beacon,99 years,1Q/2027,,1.0,,1.27321995105112,103.808261964715,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjFDMzlCXzE3Njg1NDUwMDAwMjI,TELOK BLANGAH MRT STATION,CC28,325.4,419.0,5.0,5.0
Havelock View,87 years,Keys available,,2.0,,1.29006686277944,103.829245853053,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjVSQzIzXzE3Njg1MjcwMDAxMDQ,TIONG BAHRU MRT STATION,EW17,500.3,885.0,10.6,10.6
Alexandra Peaks - Prime,15 - 99 years,2Q/2029,7.0,67.0,138.0,1.29166487080738,103.820640705322,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjdDNTRfMTc2ODUyNzAwMDAxMg,REDHILL MRT STATION,EW18,491.7,758.0,9.1,9.1
Alexandra Vale - Prime,99 years,2Q/2028,,27.0,86.0,1.28960133225885,103.818276680258,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjdDNTdfMTc2ODUyNzAwMDA2MA,REDHILL MRT STATION,EW18,176.5,270.0,3.2,3.2
Bukit Merah Ridge - Prime,99 years,1Q/2028,,125.0,202.0,1.28641953518599,103.823994558274,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjZDNThfMTc2ODUyNzAwMDAzMw,TIONG BAHRU MRT STATION,EW17,325.2,394.0,4.7,4.7
Havelock Hillside - Prime,99 years,4Q/2028,,33.0,100.0,1.28901860835749,103.831440994912,Bukit Merah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Qk1fTjVDNTFfMTc2ODUyNzAwMDA4MQ,HAVELOCK MRT STATION,TE16,258.1,484.0,5.8,5.8
